,date,Time,LST,date_modis,anomalia
0,2003-01-01 00:00:00,00:00:00,20.567,1,10.9791470231
1,2003-01-09 00:00:00,00:00:00,22.608,9,13.0201470231
2,2003-01-17 00:00:00,00:00:00,18.598,17,9.0101470231
3,2003-01-25 00:00:00,00:00:00,22.803,25,13.2151470231
4,2003-02-02 00:00:00,00:00:00,22.3,33,12.7121470231
5,2003-02-10 00:00:00,00:00:00,21.914,41,12.3261470231
6,2003-02-18 00:00:00,00:00:00,19.974,49,10.3861470231
7,2003-02-26 00:00:00,00:00:00,21.312,57,11.7241470231
8,2003-03-06 00:00:00,00:00:00,19.953,65,10.3651470231
9,2003-03-14 00:00:00,00:00:00,20.155,73,10.5671470231
10,2003-03-22 00:00:00,00:00:00,17.486,81,7.8981470231
11,2003-03-30 00:00:00,00:00:00,15.504,89,5.9161470231
12,2003-04-07 00:00:00,00:00:00,15.759,97,6.1711470231
13,2003-04-15 00:00:00,00:00:00,8.398,105,-1.1898529769
14,2003-04-23 00:00:00,00:00:00,8.74,113,-0.8478529769
15,2003-05-01 00:00:00,00:00:00,8.612,121,-0.9758529769
16,2003-05-09 00:00:00,00:00:00,5.263,129,-4.3248529769
17,2003-05-17 00:00:00,00:00:00,-4.336,137,-13.9238529769
18,2003-05-25 00:00:00,00:00:00,-6.986,145,-16.5738529769
19,2003-06-02 00:00:00,00:00:00,-8.708,153,-18.2958529769
20,2003-06-10 00:00:00,00:00:00,-12.224,161,-21.8118529769
21,2003-06-18 00:00:00,00:00:00,-5.13,169,-14.7178529769
22,2003-06-26 00:00:00,00:00:00,-3.883,177,-13.4708529769
23,2003-07-04 00:00:00,00:00:00,-12.197,185,-21.7848529769
24,2003-07-12 00:00:00,00:00:00,-9.28,193,-18.8678529769
25,2003-07-20 00:00:00,00:00:00,-11.452,201,-21.0398529769
26,2003-07-28 00:00:00,00:00:00,-6.655,209,-16.2428529769
27,2003-08-05 00:00:00,00:00:00,-5.365,217,-14.9528529769
28,2003-08-13 00:00:00,00:00:00,-2.154,225,-11.7418529769
29,2003-08-21 00:00:00,00:00:00,-1.218,233,-10.8058529769
30,2003-08-29 00:00:00,00:00:00,3.567,241,-6.0208529769
31,2003-09-06 00:00:00,00:00:00,0.691,249,-8.8968529769
32,2003-09-14 00:00:00,00:00:00,6.246,257,-3.3418529769
33,2003-09-22 00:00:00,00:00:00,3.708,265,-5.8798529769
34,2003-09-30 00:00:00,00:00:00,8.167,273,-1.4208529769
35,2003-10-08 00:00:00,00:00:00,14.809,281,5.2211470231
36,2003-10-16 00:00:00,00:00:00,13.502,289,3.9141470231
37,2003-10-24 00:00:00,00:00:00,16.931,297,7.3431470231
38,2003-11-01 00:00:00,00:00:00,15.642,305,6.0541470231
39,2003-11-09 00:00:00,00:00:00,17.756,313,8.1681470231
40,2003-11-17 00:00:00,00:00:00,15.838,321,6.2501470231
41,2003-11-25 00:00:00,00:00:00,18.528,329,8.9401470231
42,2003-12-03 00:00:00,00:00:00,18.77,337,9.1821470231
43,2003-12-11 00:00:00,00:00:00,19.911,345,10.3231470231
44,2003-12-19 00:00:00,00:00:00,26.185,353,16.5971470231
45,2003-12-27 00:00:00,00:00:00,24.637,361,15.0491470231
46,2004-01-01 00:00:00,00:00:00,26.219,1,16.6311470231
47,2004-01-09 00:00:00,00:00:00,27.34,9,17.7521470231
